#{"t_start": 1790172017.0175097, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
-319.85956,30,8.63823,False,True,no_target
-313.0953,36,8.904867,False,True,no_target
-347.97214,51,9.591421,False,True,no_target
-366.08133,57,9.860491,False,True,no_target
-394.7445,59,9.957465,False,True,no_target
-357.393,32,10.103868,False,True,no_target
101.427826,62,10.103868,True,False,no_target
140.34451,65,10.235023,True,False,no_target
-351.21548,68,10.389164,False,True,no_target
-330.7223,72,10.625405,False,True,no_target
-370.67313,74,10.750776,False,True,no_target
-311.6334,37,11.876844,False,True,no_target
126.870636,66,12.17524,True,False,no_target
132.23991,60,12.610877,True,False,no_target
-355.93185,53,12.817169,False,True,no_target
-342.1957,47,13.000952,False,True,no_target
49.82273,63,13.612912,True,False,no_target
-344.4249,69,13.612912,False,True,no_target
-316.9449,35,13.612912,False,True,no_target
-358.43646,75,13.664541,False,True,no_target
126.167496,62,13.876088,True,False,no_target
-329.8398,74,14.00605,False,True,no_target
-318.02942,29,14.047704,False,True,no_target
-326.95715,20,14.931083,False,True,no_target
131.29999,62,15.671644,True,False,no_target
122.3627,58,15.671644,True,False,no_target
-319.8878,19,15.761727,False,True,no_target
-344.80582,79,15.846222,False,True,no_target
-354.12405,53,15.989531,False,True,no_target
-330.308,55,16.161496,False,True,no_target
133.00957,61,16.385354,True,False,no_target
47.03196,57,16.431372,True,False,no_target
-328.60916,74,16.993493,False,True,no_target
-356.2343,33,17.353671,False,True,no_target
-355.97583,75,17.446687,False,True,no_target
-319.61655,34,18.073369,False,True,no_target
-312.8932,22,18.408889,False,True,no_target
128.3466,58,18.453179,True,False,no_target
87.57156,60,18.734109,True,False,no_target
-416.8017,64,18.734109,False,True,no_target
-338.07407,39,18.903491,False,True,no_target
130.5377,66,19.193805,True,False,no_target
-323.70255,44,19.560454,False,True,no_target
-355.09113,74,19.695694,False,True,no_target
-320.5382,26,19.991003,False,True,no_target
-391.705,76,20.040486,False,True,no_target
-301.84778,41,20.040486,False,True,no_target
88.29611,59,21.251199,True,False,no_target
-373.18005,71,21.845875,False,True,no_target
-401.8541,66,21.899821,False,True,no_target
129.62326,64,21.946322,True,False,no_target
-320.8317,14,22.566649,False,True,no_target
108.648796,61,22.619674,True,False,no_target
102.676506,73,22.667797,True,False,no_target
135.14168,60,22.913377,True,False,no_target
127.18172,71,22.957726,True,False,no_target
-334.49817,62,23.018636,False,True,no_target
-335.41748,71,23.380609,False,True,no_target
-318.1834,13,23.533595,False,True,no_target
-313.77496,43,23.941622,False,True,no_target
-368.73923,60,24.136044,False,True,no_target
-314.91064,33,24.56459,False,True,no_target
-328.8926,28,24.736262,False,True,no_target
-324.88086,18,24.946566,False,True,no_target
110.790955,68,25.153927,True,False,no_target
138.98569,63,25.558896,True,False,no_target
-390.82697,70,25.823221,False,True,no_target
-352.7488,75,25.994025,False,True,no_target
52.854755,57,26.092638,True,False,no_target
-323.67313,33,26.33869,False,True,no_target
-341.9991,79,26.547276,False,True,no_target
120.78073,60,27.110707,True,False,no_target
-337.61838,46,27.110707,False,True,no_target
-309.34113,26,27.199168,False,True,no_target
-325.18942,16,27.239625,False,True,no_target
134.53667,69,27.655748,True,False,no_target
-417.6492,86,27.655748,False,True,no_target
-306.28955,37,27.925602,False,True,no_target
115.27756,56,27.978055,True,False,no_target
126.42472,61,28.624106,True,False,no_target
-346.59637,68,28.766098,False,True,no_target
-319.0038,26,29.157318,False,True,no_target
114.11919,54,29.655909,True,False,no_target
-360.2408,59,29.751544,False,True,no_target
131.69601,63,29.949668,True,False,no_target
135.66899,61,29.949668,True,False,no_target
129.48547,58,30.389233,True,False,no_target
-308.58557,39,30.538775,False,True,no_target
121.79207,59,30.744695,True,False,no_target
-315.35602,22,30.798555,False,True,no_target
-311.3464,66,30.798555,False,True,no_target
-319.53476,22,31.668962,False,True,no_target
128.5138,65,32.010819,True,False,no_target
-355.96384,62,32.257949,False,True,no_target
-310.36633,38,32.308715,False,True,no_target
-313.49353,31,32.362312,False,True,no_target
-384.46002,59,32.887389,False,True,no_target
-393.33945,66,33.037068,False,True,no_target
-345.20114,68,33.272304,False,True,no_target
129.8138,65,33.810877,True,False,no_target
-309.06995,34,33.810877,False,True,no_target
-334.5971,36,33.864634,False,True,no_target
105.82458,55,34.135166,True,False,no_target
-376.0844,75,34.223639,False,True,no_target
133.27641,60,34.703957,True,False,no_target
-307.4869,39,34.749114,False,True,no_target
140.22105,61,35.005862,True,False,no_target
-317.9661,33,35.771943,False,True,no_target
124.922104,65,35.926789,True,False,no_target
-319.84146,44,36.026947,False,True,no_target
111.74553,60,36.145566,True,False,no_target
126.4577,57,36.636767,True,False,no_target
117.85229,56,37.016541,True,False,no_target
-319.24982,26,37.202706,False,True,no_target
-401.8246,71,37.293171,False,True,no_target
-337.22693,34,37.751296,False,True,no_target
-402.45853,64,38.13504,False,True,no_target
-380.37503,71,38.181196,False,True,no_target
-425.5454,74,38.367363,False,True,no_target
-410.91403,52,38.51316,False,True,no_target
105.69716,62,38.767282,True,False,no_target
-336.63876,70,39.966723,False,True,no_target
-355.60745,77,40.77229,False,True,no_target
-384.36395,72,40.82407,False,True,no_target
-383.1025,75,40.880639,False,True,no_target
-357.2064,71,41.308848,False,True,no_target
-390.63892,67,41.498647,False,True,no_target
127.829315,64,41.60659,True,False,no_target
-352.3237,69,41.659755,False,True,no_target
61.24692,61,41.86419,True,False,no_target
-319.643,23,41.958262,False,True,no_target
-405.92032,71,42.104954,False,True,no_target
-412.83316,53,42.659055,False,True,no_target
-395.4657,32,43.021805,False,True,no_target
-379.70813,56,43.554424,False,True,no_target
-344.20563,59,44.085155,False,True,no_target
-318.9977,48,44.315144,False,True,no_target
-349.25058,72,44.315144,False,True,no_target
-392.96793,68,44.790825,False,True,no_target
-376.8258,41,44.928875,False,True,no_target
-348.34164,70,45.109815,False,True,no_target
-386.6096,70,45.210319,False,True,no_target
-381.91147,76,45.210319,False,True,no_target
129.10968,62,45.550162,True,False,no_target
116.10056,58,46.228125,True,False,no_target
-354.6208,37,46.921932,False,True,no_target
130.86899,64,47.059269,True,False,no_target
112.58516,60,47.107155,True,False,no_target
85.23727,63,47.253668,True,False,no_target
112.10648,55,47.355428,True,False,no_target
119.88283,62,47.876074,True,False,no_target
81.71108,62,48.069711,True,False,no_target
-366.71362,61,48.117667,False,True,no_target
-314.65338,26,48.205223,False,True,no_target
138.98799,59,48.36898,True,False,no_target
-305.51736,42,49.193048,False,True,no_target
-321.58432,25,49.295564,False,True,no_target
72.05398,65,49.399136,True,False,no_target
-321.66232,40,50.049611,False,True,no_target
70.42083,66,50.572919,True,False,no_target
-317.2037,29,50.572919,False,True,no_target
118.49324,56,50.909742,True,False,no_target
-363.96243,77,51.011514,False,True,no_target
-397.36093,88,51.323322,False,True,no_target
-347.0176,74,51.424263,False,True,no_target
-333.70795,73,51.836184,False,True,no_target
-319.2178,30,51.964907,False,True,no_target
-427.63943,63,52.217584,False,True,no_target
-334.98425,64,52.349853,False,True,no_target
-308.94952,37,52.659586,False,True,no_target
139.06929,63,52.910528,True,False,no_target
-344.535,57,53.423008,False,True,no_target
-330.7245,50,53.528637,False,True,no_target
-344.02182,56,53.890875,False,True,no_target
-303.2503,42,54.069844,False,True,no_target
-376.57327,81,54.199703,False,True,no_target
-339.04135,41,54.507757,False,True,no_target
104.39239,60,54.507757,True,False,no_target
-318.1056,17,57.24968,False,True,no_target
103.102005,62,57.900071,True,False,no_target
51.454147,64,64.901895,True,False,no_target
