#{"t_start": 1789569213.015921, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
-317.688,15,67.749577,False,True,crossing
-286.10184,22,70.446664,False,True,crossing
-455.93576,32,71.145975,False,True,crossing
21.02018,42,71.823187,True,False,being_overtaken
-562.27454,44,72.086905,False,True,head_on
-422.10715,44,72.086905,False,True,being_overtaken
27.921797,54,73.41587,True,False,crossing
-262.81226,55,73.537298,True,False,crossing
-385.16196,29,73.920403,False,True,crossing
-12.075079,70,74.555477,True,False,no_target
-328.64612,29,87.750297,False,True,head_on
-48.138,72,87.904435,True,False,no_target
60.001465,58,88.088546,True,False,no_target
-390.93008,19,88.306314,False,True,crossing
-89.05753,53,88.632907,True,False,being_overtaken
36.83784,54,90.163342,True,False,overtaking
38.99341,58,91.516685,True,False,crossing
13.076208,41,91.516685,True,False,being_overtaken
0.877182,41,91.84705,True,False,being_overtaken
97.49785,57,92.051543,True,False,no_target
60.107655,80,92.640264,True,False,overtaking
64.71145,57,104.575138,True,False,overtaking
-361.64914,18,104.575138,False,True,crossing
77.869064,58,104.933837,True,False,null
-3.429791,63,107.427777,True,False,overtaking
70.00736,67,109.199784,True,False,null
-398.44748,41,109.396979,False,True,crossing
-298.26868,30,111.235503,False,True,head_on
-375.37585,42,114.187532,False,True,null
114.82374,54,114.187532,True,False,no_target
25.09356,53,114.411172,True,False,head_on
-360.25867,39,114.566376,False,True,null
60.314857,60,115.721763,True,False,overtaking
19.353134,43,115.721763,True,False,being_overtaken
-2.4475327,41,115.721763,True,False,being_overtaken
56.964294,51,116.405048,True,False,overtaking
-406.16226,22,116.467352,False,True,crossing
-24.657742,63,116.632151,True,False,overtaking
14.559687,41,117.568752,True,False,being_overtaken
-398.49078,18,117.878306,False,True,crossing
-96.97699,53,127.265787,True,False,head_on
-16.740797,41,127.696213,True,False,being_overtaken
-401.0783,33,128.187031,False,True,no_target
75.34996,61,128.451802,True,False,null
74.65327,57,139.335,True,False,no_target
61.386883,56,139.759726,True,False,overtaking
53.879528,56,139.759726,True,False,crossing
-373.2961,31,144.704913,False,True,head_on
124.3767,54,144.704913,True,False,no_target
61.860523,57,147.436174,True,False,overtaking
88.365654,57,147.748072,True,False,head_on
-0.4180022,44,147.748072,True,False,being_overtaken
137.18315,57,148.926746,True,False,no_target
-318.91687,37,149.755663,False,True,overtaking
-632.9944,47,149.755663,False,True,crossing
-344.89374,17,149.755663,False,True,being_overtaken
74.059975,55,152.672534,True,False,head_on
7.4871116,41,153.372711,True,False,being_overtaken
26.304611,63,153.764119,True,False,no_target
138.17943,58,153.961291,True,False,no_target
33.466988,53,156.546316,True,False,head_on
77.38983,54,157.37911,True,False,head_on
31.533134,43,157.787379,True,False,being_overtaken
13.271259,49,159.846411,True,False,overtaking
3.1199434,66,161.795806,True,False,no_target
-22.559309,62,163.099265,True,False,crossing
31.97673,62,163.099265,True,False,crossing
69.68255,63,163.230023,True,False,null
137.16544,61,163.474792,True,False,null
-415.89255,26,163.710143,False,True,head_on
82.775566,57,163.771535,True,False,head_on
-390.06094,48,164.981919,False,True,null
-314.30118,22,165.197528,False,True,crossing
94.92977,52,165.587041,True,False,crossing
25.900896,43,165.823078,True,False,being_overtaken
33.410553,43,176.865445,True,False,being_overtaken
-6.0786095,47,177.257984,True,False,being_overtaken
69.18552,55,177.889561,True,False,no_target
67.43878,57,178.345095,True,False,crossing
-527.2696,68,178.883531,False,True,overtaking
-490.3042,33,179.12207,False,True,no_target
-119.3536,80,179.452461,True,False,overtaking
111.143974,55,179.565987,True,False,crossing
-304.72577,14,179.876973,False,True,crossing
130.83437,57,191.321486,True,False,no_target
143.76277,60,191.706638,True,False,no_target
1.040021,73,191.882075,True,False,overtaking
12.570656,66,192.626725,True,False,overtaking
-374.69165,15,192.730082,False,True,crossing
62.43433,66,193.608071,True,False,overtaking
90.54591,53,193.608071,True,False,crossing
-486.04697,36,194.208464,False,True,head_on
68.54452,57,194.285942,True,False,overtaking
63.927937,59,194.404425,True,False,head_on
-338.03653,18,204.722632,False,True,crossing
22.273829,91,205.648457,True,False,overtaking
60.700256,62,205.648457,True,False,head_on
110.83704,58,205.898748,True,False,head_on
-374.23532,17,206.290637,False,True,crossing
-291.0599,23,206.881378,False,True,head_on
33.751736,56,208.366024,True,False,head_on
80.93292,60,208.580988,True,False,head_on
35.906773,55,209.280011,True,False,no_target
-69.020874,44,209.828399,True,False,being_overtaken
-178.75322,55,210.010372,True,False,head_on
-379.68134,27,210.448548,False,True,being_overtaken
14.321345,51,210.693608,True,False,null
89.80664,61,211.370598,True,False,no_target
94.78294,59,211.452851,True,False,head_on
-349.97607,25,212.077626,False,True,crossing
27.342686,48,212.772796,True,False,crossing
114.15319,63,222.584597,True,False,null
-397.1076,23,223.0694,False,True,crossing
-421.87485,38,223.286272,False,True,crossing
50.670387,55,223.52404,True,False,crossing
-364.69022,31,223.586237,False,True,crossing
-484.07153,91,224.051572,False,True,overtaking
98.43537,62,224.473264,True,False,head_on
-355.19406,21,224.939789,False,True,crossing
24.834145,47,226.003378,True,False,being_overtaken
-532.0009,58,226.515406,False,True,overtaking
66.50476,61,227.203898,True,False,null
-459.47168,89,227.59352,False,True,overtaking
109.09281,56,227.881544,True,False,crossing
-429.20847,34,228.698364,False,True,head_on
80.213585,59,229.069024,True,False,no_target
-109.76228,60,229.931277,True,False,head_on
3.6833289,76,235.677721,True,False,overtaking
-394.19754,16,235.759956,False,True,crossing
-303.20367,18,235.759956,False,True,crossing
-176.89633,68,236.45144,True,False,no_target
-329.4132,17,240.390095,False,True,null
-294.3782,16,240.585795,False,True,crossing
-2.4474275,60,241.194812,True,False,overtaking
130.76546,59,241.463908,True,False,null
65.67308,54,241.958495,True,False,overtaking
-632.3073,33,242.093431,False,True,crossing
70.79204,56,242.787356,True,False,head_on
33.500763,53,243.261981,True,False,overtaking
16.701485,39,243.343852,True,False,being_overtaken
-491.8271,98,244.50885,False,True,overtaking
-350.42456,39,244.623226,False,True,head_on
107.2675,63,244.871884,True,False,null
46.208805,52,255.524976,True,False,overtaking
65.97818,57,255.731709,True,False,overtaking
30.758402,49,256.553207,True,False,overtaking
-341.23505,36,256.553207,False,True,no_target
-631.1043,32,257.323857,False,True,crossing
-323.40073,17,258.096604,False,True,crossing
11.543992,49,260.774066,True,False,overtaking
34.60431,97,271.89712,True,False,overtaking
12.4707775,41,272.510132,True,False,being_overtaken
76.278984,55,272.753431,True,False,head_on
70.39079,56,272.940775,True,False,crossing
83.997284,63,273.768542,True,False,overtaking
120.88349,57,273.871491,True,False,no_target
-61.238148,54,279.491638,True,False,overtaking
-349.04724,17,279.491638,False,True,crossing
126.6675,62,279.491638,True,False,null
-10.528488,41,279.69888,True,False,being_overtaken
60.94852,62,284.07761,True,False,null
-369.97903,35,284.195634,False,True,no_target
-495.55023,29,285.015748,False,True,head_on
-102.24074,57,285.293456,True,False,head_on
-330.83932,17,285.788992,False,True,head_on
-156.04576,40,286.101598,True,False,being_overtaken
28.317265,42,286.304549,True,False,being_overtaken
85.93969,55,286.520295,True,False,head_on
137.90302,60,291.111824,True,False,null
-495.10156,36,291.111824,False,True,no_target
-437.07043,28,291.222238,False,True,overtaking
-256.1526,60,291.335774,True,False,no_target
-150.43565,69,292.190659,True,False,crossing
-305.52817,16,292.902041,False,True,crossing
-381.16092,37,293.087889,False,True,overtaking
109.22558,53,293.429219,True,False,crossing
-415.6704,28,294.636748,False,True,being_overtaken
60.251095,50,294.842955,True,False,overtaking
42.50924,52,296.008644,True,False,overtaking
-319.94318,11,296.133102,False,True,crossing
-584.21075,37,296.906834,False,True,head_on
89.84171,52,297.133382,True,False,crossing
-417.91623,33,297.133382,False,True,head_on
101.915504,54,299.785092,True,False,head_on
33.523872,72,299.785092,True,False,overtaking
16.935669,42,299.971824,True,False,being_overtaken
-317.82016,25,301.43983,False,True,head_on
94.69183,62,301.731476,True,False,null
46.03919,56,303.432312,True,False,crossing
78.12052,59,303.6888,True,False,null
17.364481,41,303.6888,True,False,being_overtaken
-299.42923,17,304.007804,False,True,crossing
-448.7358,40,312.638649,False,True,crossing
-302.15018,16,312.752039,False,True,crossing
-3.1112812,56,316.188545,True,False,overtaking
63.734684,79,316.383932,True,False,overtaking
71.18158,59,316.679739,True,False,overtaking
73.633194,64,316.962265,True,False,overtaking
-462.9035,27,317.413942,False,True,head_on
11.397646,42,318.283711,True,False,being_overtaken
130.43967,60,327.550375,True,False,null
99.90811,59,327.550375,True,False,null
77.28056,61,327.550375,True,False,no_target
76.34784,59,328.270972,True,False,no_target
69.074135,56,328.478436,True,False,no_target
-134.34534,57,328.778957,True,False,head_on
81.57081,53,328.922844,True,False,no_target
-337.8187,20,331.904556,False,True,crossing
48.283245,64,331.904556,True,False,no_target
-365.16995,36,332.30795,False,True,null
-163.21468,60,332.551689,True,False,overtaking
23.680914,42,333.748447,True,False,being_overtaken
96.98728,52,334.371349,True,False,no_target
-15.667041,104,334.547064,True,False,overtaking
-447.30463,25,334.60938,False,True,overtaking
98.8108,56,334.867378,True,False,head_on
73.100235,56,335.167701,True,False,no_target
0.700663,51,335.662438,True,False,overtaking
-346.86578,20,336.936406,False,True,overtaking
27.714108,44,337.301947,True,False,being_overtaken
137.47572,58,337.987666,True,False,no_target
65.91669,54,338.125854,True,False,crossing
76.5359,59,338.568146,True,False,no_target
-330.45996,13,338.853597,False,True,crossing
-455.6443,21,339.098029,False,True,head_on
137.71667,58,339.33258,True,False,no_target
3.176949,57,339.570567,True,False,head_on
46.795353,53,339.570567,True,False,overtaking
20.296017,61,340.043648,True,False,no_target
97.535934,58,340.791453,True,False,null
-324.9725,23,341.230484,False,True,crossing
-450.64627,20,341.856311,False,True,head_on
79.6277,68,342.741172,True,False,overtaking
63.081337,63,342.882345,True,False,null
68.27652,57,343.121778,True,False,no_target
-0.5457448,42,344.2136,True,False,being_overtaken
29.18733,59,344.545129,True,False,crossing
-354.74988,17,344.545129,False,True,crossing
74.43166,56,344.607213,True,False,no_target
-68.47665,66,345.256949,True,False,head_on
-327.79596,41,345.360141,False,True,no_target
-349.90033,20,345.763947,False,True,crossing
-414.11612,24,346.397219,False,True,crossing
111.45224,65,346.952579,True,False,null
-20.091537,84,347.212062,True,False,overtaking
90.70365,51,347.58292,True,False,crossing
125.308174,56,353.500292,True,False,no_target
111.830154,53,354.191664,True,False,no_target
-364.6247,29,354.191664,False,True,head_on
119.431656,54,354.305744,True,False,no_target
-357.46927,22,354.555354,False,True,crossing
98.177895,51,362.226902,True,False,no_target
43.6114,56,362.496775,True,False,overtaking
-52.965355,52,362.685917,True,False,no_target
127.16519,58,375.028638,True,False,null
-377.23697,31,389.704381,False,True,crossing
143.28702,59,389.867275,True,False,no_target
15.930412,43,390.425982,True,False,being_overtaken
40.69294,53,391.021772,True,False,overtaking
-311.71112,36,391.280323,False,True,no_target
25.509628,47,391.540512,True,False,overtaking
-37.878872,44,391.672524,True,False,being_overtaken
-346.79413,21,391.755171,False,True,head_on
